image_paths,title,price,post_url,location
"images\listing_27_image_1.png_20240927_123052.png, images\listing_27_image_2.png_20240927_123053.png, images\listing_27_image_3.png_20240927_123054.png, images\listing_27_image_4.png_20240927_123056.png, images\listing_27_image_5.png_20240927_123057.png, images\listing_27_image_6.png_20240927_123059.png",Rent to Own House And Lot,"PHP1,400,000",https://www.facebook.com/marketplace/item/1027132662404961/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_28_image_1.png_20240927_123140.png, images\listing_28_image_2.png_20240927_123144.png, images\listing_28_image_3.png_20240927_123145.png, images\listing_28_image_4.png_20240927_123147.png, images\listing_28_image_5.png_20240927_123148.png, images\listing_28_image_6.png_20240927_123150.png, images\listing_28_image_7.png_20240927_123151.png, images\listing_28_image_8.png_20240927_123153.png",HOUSE FOR SALE,PHP4,https://www.facebook.com/marketplace/item/1657859471734177/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
images\listing_29_image_1.png_20240927_123158.png,3 Storey House and Lot for Sale in Tondo Manila,PHP18,https://www.facebook.com/marketplace/item/911715050981921/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
images\listing_30_image_1.png_20240927_123203.png,PREFAB CONTAINER HOUSE,"PHP100,000",https://www.facebook.com/marketplace/item/834448562202658/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
images\listing_31_image_1.png_20240927_123208.png,VACATION HOUSE USING PREFAB CONTAINER HOUSE ,"PHP100,000",https://www.facebook.com/marketplace/item/1473075036675156/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_32_image_1.png_20240927_123214.png, images\listing_32_image_2.png_20240927_123216.png, images\listing_32_image_3.png_20240927_123217.png, images\listing_32_image_4.png_20240927_123219.png, images\listing_32_image_5.png_20240927_123221.png, images\listing_32_image_6.png_20240927_123222.png, images\listing_32_image_7.png_20240927_123224.png",For sale house and lot metrogate spring meadows,PHP12,https://www.facebook.com/marketplace/item/1042767853918314/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_33_image_1.png_20240927_123230.png, images\listing_33_image_2.png_20240927_123232.png, images\listing_33_image_3.png_20240927_123234.png, images\listing_33_image_4.png_20240927_123235.png",House and lot,PHP3,https://www.facebook.com/marketplace/item/553922260406395/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
images\listing_34_image_1.png_20240927_123316.png,House and lot commercial,PHP10,https://www.facebook.com/marketplace/item/3854665811519630/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_35_image_1.png_20240927_123324.png, images\listing_35_image_2.png_20240927_123325.png, images\listing_35_image_3.png_20240927_123327.png, images\listing_35_image_4.png_20240927_123328.png, images\listing_35_image_5.png_20240927_123330.png, images\listing_35_image_6.png_20240927_123332.png, images\listing_35_image_7.png_20240927_123333.png, images\listing_35_image_8.png_20240927_123335.png",House & Lot for Sale@Vita Toscana Subd.,"PHP1,300,000",https://www.facebook.com/marketplace/item/25479237585056344/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
images\listing_36_image_1.png_20240927_123413.png,House and lot,PHP2,https://www.facebook.com/marketplace/item/1183647799301843/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_37_image_1.png_20240927_123537.png, images\listing_37_image_2.png_20240927_123541.png, images\listing_37_image_3.png_20240927_123543.png, images\listing_37_image_4.png_20240927_123544.png",Contener Moder House,"PHP200,000",https://www.facebook.com/marketplace/item/363029849561276/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_38_image_1.png_20240927_123627.png, images\listing_38_image_2.png_20240927_123632.png, images\listing_38_image_3.png_20240927_123634.png",House for sale,PHP5,https://www.facebook.com/marketplace/item/1019219083012845/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Mandaluyong, NCR"
"images\listing_39_image_1.png_20240927_123716.png, images\listing_39_image_2.png_20240927_123720.png, images\listing_39_image_3.png_20240927_123722.png, images\listing_39_image_4.png_20240927_123723.png, images\listing_39_image_5.png_20240927_123725.png, images\listing_39_image_6.png_20240927_123727.png",RENT TO OWN HOUSE AND LOT,"PHP1,400,000",https://www.facebook.com/marketplace/item/1544205802853981/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_40_image_1.png_20240927_123733.png, images\listing_40_image_2.png_20240927_123734.png, images\listing_40_image_3.png_20240927_123736.png",House and lot,PHP7,https://www.facebook.com/marketplace/item/416525838204554/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
images\listing_41_image_1.png_20240927_123741.png,222 house and lot Paco income generating,PHP22,https://www.facebook.com/marketplace/item/1220048295848778/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
images\listing_42_image_1.png_20240927_123745.png,For Sale: House and lot,PHP35,https://www.facebook.com/marketplace/item/1481267345741679/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_43_image_1.png_20240927_123751.png, images\listing_43_image_2.png_20240927_123753.png, images\listing_43_image_3.png_20240927_123754.png",House and lot,PHP17,https://www.facebook.com/marketplace/item/363856310049159/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_44_image_1.png_20240927_123801.png, images\listing_44_image_2.png_20240927_123802.png, images\listing_44_image_3.png_20240927_123804.png, images\listing_44_image_4.png_20240927_123805.png, images\listing_44_image_5.png_20240927_123807.png, images\listing_44_image_6.png_20240927_123808.png, images\listing_44_image_7.png_20240927_123810.png, images\listing_44_image_8.png_20240927_123811.png, images\listing_44_image_9.png_20240927_123813.png",House and Lot for Sale Bankers Village Quirino Highway Caloocan City,"PHP4,100,000",https://www.facebook.com/marketplace/item/813884693472265/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_46_image_1.png_20240927_123826.png, images\listing_46_image_2.png_20240927_123827.png",House and lot for sale,"PHP3,000,000",https://www.facebook.com/marketplace/item/2636363453227466/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_47_image_1.png_20240927_123833.png, images\listing_47_image_2.png_20240927_123835.png, images\listing_47_image_3.png_20240927_123836.png, images\listing_47_image_4.png_20240927_123838.png, images\listing_47_image_5.png_20240927_123839.png, images\listing_47_image_6.png_20240927_123841.png, images\listing_47_image_7.png_20240927_123843.png, images\listing_47_image_8.png_20240927_123844.png, images\listing_47_image_9.png_20240927_123846.png, images\listing_47_image_10.png_20240927_123847.png",Warehouse house with kitchen in san juan,"PHP65,000",https://www.facebook.com/marketplace/item/451565167899593/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
images\listing_49_image_1.png_20240927_123858.png,VACATION HOUSE USING PREFAB CONTAINER HOUSE,"PHP195,000",https://www.facebook.com/marketplace/item/1445244389502264/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_50_image_1.png_20240927_123904.png, images\listing_50_image_2.png_20240927_123905.png, images\listing_50_image_3.png_20240927_123907.png, images\listing_50_image_4.png_20240927_123909.png, images\listing_50_image_5.png_20240927_123910.png, images\listing_50_image_6.png_20240927_123912.png, images\listing_50_image_7.png_20240927_123913.png, images\listing_50_image_8.png_20240927_123915.png, images\listing_50_image_9.png_20240927_123916.png, images\listing_50_image_10.png_20240927_123918.png", House and lot,"PHP750,000",https://www.facebook.com/marketplace/item/1995369737588901/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Quezon City, NCR"
images\listing_51_image_1.png_20240927_123922.png,House and lot,PHP7,https://www.facebook.com/marketplace/item/501404516196337/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
images\listing_52_image_1.png_20240927_123927.png,389 m2 house and lot,"PHP200,000",https://www.facebook.com/marketplace/item/484428274433712/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_53_image_1.png_20240927_123933.png, images\listing_53_image_2.png_20240927_123935.png, images\listing_53_image_3.png_20240927_123936.png",House and lot for sale,"PHP800,000",https://www.facebook.com/marketplace/item/364576610036968/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_54_image_1.png_20240927_123942.png, images\listing_54_image_2.png_20240927_123944.png, images\listing_54_image_3.png_20240927_123945.png, images\listing_54_image_4.png_20240927_123947.png, images\listing_54_image_5.png_20240927_123948.png, images\listing_54_image_6.png_20240927_123950.png",Rent to own house and lot,"PHP8,000",https://www.facebook.com/marketplace/item/1479218795993259/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Pasay City, NCR"
"images\listing_55_image_1.png_20240927_123958.png, images\listing_55_image_2.png_20240927_123959.png, images\listing_55_image_3.png_20240927_124001.png, images\listing_55_image_4.png_20240927_124002.png, images\listing_55_image_5.png_20240927_124004.png, images\listing_55_image_6.png_20240927_124005.png, images\listing_55_image_7.png_20240927_124007.png, images\listing_55_image_8.png_20240927_124009.png",RENT TO OWN HOUSE AND LOT,"PHP1,400,000",https://www.facebook.com/marketplace/item/441059938425993/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_56_image_1.png_20240927_124014.png, images\listing_56_image_2.png_20240927_124016.png",House,PHP11,https://www.facebook.com/marketplace/item/1066334871668329/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
images\listing_57_image_1.png_20240927_124021.png,PREFAB CONTAINER HOUSE,"PHP100,000",https://www.facebook.com/marketplace/item/997792518696089/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_58_image_1.png_20240927_124027.png, images\listing_58_image_2.png_20240927_124029.png, images\listing_58_image_3.png_20240927_124030.png, images\listing_58_image_4.png_20240927_124031.png, images\listing_58_image_5.png_20240927_124033.png, images\listing_58_image_6.png_20240927_124034.png, images\listing_58_image_7.png_20240927_124036.png, images\listing_58_image_8.png_20240927_124038.png, images\listing_58_image_9.png_20240927_124039.png",House and lot for Sanla Tira or Sale,PHP150,https://www.facebook.com/marketplace/item/397826519750816/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
images\listing_59_image_1.png_20240927_124118.png,House and lot,PHP150,https://www.facebook.com/marketplace/item/1469482923739467/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Malabon, NCR"
"images\listing_60_image_1.png_20240927_124124.png, images\listing_60_image_2.png_20240927_124126.png, images\listing_60_image_3.png_20240927_124127.png, images\listing_60_image_4.png_20240927_124129.png, images\listing_60_image_5.png_20240927_124131.png, images\listing_60_image_6.png_20240927_124132.png, images\listing_60_image_7.png_20240927_124134.png, images\listing_60_image_8.png_20240927_124135.png, images\listing_60_image_9.png_20240927_124137.png, images\listing_60_image_10.png_20240927_124139.png",For sale 108 Sqm House and Lot,PHP13,https://www.facebook.com/marketplace/item/1561071761476823/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Malabon, NCR"
"images\listing_61_image_1.png_20240927_124145.png, images\listing_61_image_3.png_20240927_124148.png, images\listing_61_image_4.png_20240927_124149.png",BUNGALOW HOUSE,"PHP280,000",https://www.facebook.com/marketplace/item/465352096401267/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
